,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0,07bb2adf-dfb2-4ac5-bed5-5a995eefe8a8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Nge bug mulu.. Parah!! Mau log in susah, mau bales chat susah!! Gw kira wifi yg bermasalah, ternyata emang aplikasinya!!!! Aplikasi lain jalan semua, cuma tinder yg nge bug herannn",1,0,15.21.1,2024-11-13 17:54:30,,,15.21.1
1,042c7b30-9e5b-4aa5-823a-8a5f467cf773,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi sangat jelek sekali, sudah topup tpi tdk bisa lihat orang yg suka sama kita, percuma download aplikasinya👎👎👎👎👎👎👎👎👎👎👎 dan kita tidak bisa kirm match dengan orang lain jdi semua di dislike dan tiba2 berubah di akun silfer😕😕 semakin hari bukannya semakin bagus tapi semakin parah👎👎👎👎👎👎",2,3,15.19.0,2024-11-11 11:44:11,,,15.19.0
2,258c4a11-aaf1-408a-869d-8fb88e52674b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jangan d pake aplikasi beginian,akun gw tiba2 d blokir padahal ga ad melakukan pelanggaran dan hal2 aneh lain,udh byar premium lah fitur ini itu lah atau tinder gold,sebulan sebelum d blokir akun gw kaya beku ga ad aktifitas ga ad yg match padahal udh ngswipe stiap hari,ini kenapa bos?padahal yg match k saya ratusan sebelumnya,gw juga udh bayar fitur dan akun gw verifikasi.nyari duit doang lu kek ny ye aplikasi💩",1,42,15.19.0,2024-10-18 12:00:18,,,15.19.0
3,c38793ec-dd36-4253-acd3-9a60253b95e9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tinder tambah menyebalkan ga bisa liat status dan ga bisa menerima chat ga seperti biasanya, jd males ksh bintang 2 dl.ya nanti klo dah di perbaiki okelah bintanya tambah",2,16,15.19.0,2024-10-21 11:26:40,,,15.19.0
4,85e31922-0dd8-4d62-b913-c36ee617ea7d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Di swafoto terus padahl ga aneh aneh sebelum bayar engga swafoto tetapi sesudah bayar malah swafoto terus kaya nya ini app iman nyari untung doang dari pembayaran, jangan gitu dong makin hari app tuh harus makin baik ini malah kaya nguntungin dari pembayaran. Kecewa",1,41,15.18.0,2024-10-02 06:00:29,,,15.18.0
5,02c04856-b89b-4fd2-ac9c-455068029eb8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Kenapa tinder tidak bisa kirim pesan dan match dengan orng, padahal sebelumnya bisa semenjak proses swafoto akun saya seperti di bekukan tpi tidak di bekukan tolong di perbaiki",5,246,15.17.1,2024-09-29 09:35:10,,,15.17.1
6,d8f8c310-ec64-487d-8eaa-f36a425c0987,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Woy udah 2 bulan tinder ga bs di gunakan. Verifikasi juga udah berhasil. Habisin uang saja, beli mingguan sampai masa abis masih ga bs kepakek. Perpanjang lg seminggu tetap ga bs kepakek. Ada apa sih tinder sebenarnya?🤔 pdhl dl gak begini",1,46,15.17.1,2024-09-23 15:10:36,,,15.17.1
7,f60a9cce-c51e-46d6-94a6-7c6d1336f1b7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kok gak pernah match lagi gak kaya dulu.... Sekarang sudah digeser ke kanan berpuluh puluh kali gk pernah match mlaah besoknya masih muncul foto orang yg sama.... Gimana nih gak pernah match,3,22,15.18.1,2024-10-14 16:09:48,,,15.18.1
8,6dfe6e9c-b016-46b4-bcd6-c16dbcf3492f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Yg saya keluhkan adlah masalah preferensi jarak. Knapa koq hnya smpai 161 Km?? .. pdahal yg sya inginkn adlah sampai 10.000 Km! .. tolong developerny ini perbaiki appsnya. Hrsnya kalo bsa jaraknya Unlimited. Sya yakin semua puas. Terima kasih.😔🙏,1,105,15.9.0,2024-06-06 19:10:44,,,15.9.0
9,54040580-fc36-47ca-b41c-c8fbe258e3f6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Baru 2 hr pake tinder tp tiba² suruh verifikasi padahal sebelum nya aku ga ngelakuin kesalahan apa²...tolong ksh alasan yg jelas donk tinder knp kok akun saya tiba² di suruh verifikasi & sampe saat ini ga bisa di pakai lg padahal sudah verifikasi dg benar 😡😡😡,2,35,15.15.2,2024-09-01 20:44:53,,,15.15.2
10,a3048da1-4e8c-4669-ba7e-60ff369e1024,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ini kenapa akun saya aneh sekali. padahal tinder gold. sudah mencoba perbaharui tapi seperti dibekukan, ga ada pesan masuk sama sekali, kalau gtu tolong dikembalikan dana saya.",5,145,15.18.0,2024-10-02 00:34:41,,,15.18.0
11,81dace3f-187e-4099-9c55-f1a7cb15cefb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,kenapa tinder saya 2 kali keluar dari akun dan harus melakukan verifikasi lagi padahal sudah ada tanda centang biru dan sekarang akun saya di tahan dengan alasan swafoto baru kali ini tinder saya bermasalah,1,1,15.19.0,2024-11-06 12:48:22,,,15.19.0
12,12c194a1-e6dc-4236-aaf1-2e1971832215,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Terlalu banyak pembayaran, udah paket premium mau ngirim super like aja disuruh bayar lagi, mau booster juga bayar lagi.",1,18,15.17.1,2024-09-30 14:50:16,,,15.17.1
13,7497dd38-ff2f-45a4-b154-972133b928c8,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Udh beli yang premium, ternyata masih tidak bisa chat, untuk bisa chat harus upgrade paket lagi, ah merasa ditipu. Cukup beli sekali aja, trus uninstall di blacklist appsnya. Dan satu lagi, ada akun orang lain bisa tulis instagram di bio, tapi ketika aku masukkin ig langsung kena teguran, maunya apa ini apps? Kebijakannya aja juga gak jelas.",1,65,15.9.0,2024-06-08 14:08:03,,,15.9.0
14,3a2a369f-1a80-4b68-91d2-4d00300b1b3e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gak pernah di macth kan. Harus berbayar dulu baru bisa, itu pun seletah berbayar masih susah juga. Sangan kurang bagus",1,12,15.18.1,2024-10-10 01:30:40,,,15.18.1
15,2a3efe30-7156-48f6-b0d8-ebd0e004b044,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sejak swafoto akun saya dibekukan terus sampai saat ini,padahal udah langganan tinder gold,dulu gk pernah kayak gini,sangat kecewa sekali dan tolong pulihkan akun saya seperti dulu!!",1,19,15.18.0,2024-10-09 12:54:36,,,15.18.0
16,f5af3941-b167-452a-b582-4fe538b866ae,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"saya kena love scam di tinder, tiba2 match dengan seseorang yg mengaku dari hongkong dan bertukar nimer wa (nomer hongkong) setelah sekian lama kenalan, saya digiring dengan sangat halus sekali utk investasi di sebuah platform crypto yg trnyata bodong (bikinan pelaku scammer sendiri) dan saya habis banyak. pihak tinder ketika dimintai data sangat tidak kooperatif, kecewa total dengan tinder",1,1,15.19.0,2024-11-09 01:15:37,,,15.19.0
17,79da8539-7eaa-4ef4-a65e-719068ff00cf,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Setelah bayar premium malah swafoto terus gabisa masuk.. Tolong dong ini anjir banget... Mana bayar mahal,1,7,15.16.0,2024-09-14 05:49:10,,,15.16.0
18,076e106b-45b5-43e1-bff5-6b83b87c77a9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya kasih ranting bintang satu karena sudah 4 hari apk tinder saya tidak bisa di gunakan.. Saya sudah verifikasi selfi foto..,1,14,15.16.0,2024-09-15 08:17:50,,,15.16.0
19,9a8a1d31-9a22-4699-be84-f14c0d513490,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolong aku lagi asik asik nya chat sama orang tiba tiba malah gabisa match, gabisa ngirim chat mana belum mutualan gmn dong :( pulihkan lagi dong akun aku kaya biasa huhu",1,11,15.19.0,2024-10-19 15:33:29,,,15.19.0
